title;genres;imdb_score;;;;;;;;;;
The Other Boleyn Girl;['drama', 'romance', 'history'];6.7;;;;;;;;;;
Swades;['drama', 'european'];8.2;;;;;;;;;;
Bo on the Go!;;;;;;;;;;;;
;;;;;;;;;;;;
 in over twelve languages; Thai; Turkish;22;['animation'];['CA'];4.0;tt1516172;4.3;136.0;2.841;6.0;
Trailer Park Boys: Say Goodnight to the Bad Guys;['comedy'];7.8;;;;;;;;;;
New in Town;['comedy', 'romance'];5.6;;;;;;;;;;
Dev.D;['comedy', 'drama', 'romance'];7.9;;;;;;;;;;
El cartel 2 - La guerra total;['thriller', 'war', 'action', 'crime', 'horror'];6.7;;;;;;;;;;
Mike Birbiglia: What I Should Have Said Was Nothing;['comedy'];7.6;;;;;;;;;;
Code Lyoko;['scifi', 'comedy', 'action', 'fantasy', 'thriller', 'animation', 'family', 'romance'];7.3;;;;;;;;;;
The Game;['drama', 'comedy', 'romance', 'sport'];6.8;;;;;;;;;;
One on One;['comedy'];7.1;;;;;;;;;;
Daddy Day Care;['comedy', 'family'];5.6;;;;;;;;;;
You Will Meet a Tall Dark Stranger;['romance', 'drama', 'comedy'];6.3;;;;;;;;;;
Eat Pray Love;['drama', 'romance'];5.8;;;;;;;;;;
Nuevo Rico Nuevo Pobre;;;;;;;;;;;;
;;;;;;;;;;;;
 2007 on Caracol TV and it is also broadcast on Ecuador's Teleamazonas in primetime. Caracol TV has sold the rights of the show to Telemundo and Fox. It is;['comedy'];7.2;;;;;;;;;;
H2O: Just Add Water;['drama', 'scifi', 'family', 'fantasy'];7.2;;;;;;;;;;
Einsatzgruppen: The Nazi Death Squads;['documentation', 'history', 'war', 'european'];7.6;;;;;;;;;;
The Fierce Wife;['drama'];7.3;;;;;;;;;;
Aśoka;['war', 'action', 'drama', 'history', 'romance'];6.5;;;;;;;;;;
A Wednesday!;['thriller', 'drama', 'action', 'crime'];8.1;;;;;;;;;;
Chloe;['drama', 'thriller', 'romance', 'european'];6.3;;;;;;;;;;
The Cartel;['action', 'drama', 'crime', 'thriller', 'comedy'];8.0;;;;;;;;;;
Hachi: A Dog's Tale;['drama', 'family'];8.1;;;;;;;;;;
Monsters vs Aliens;['action', 'scifi', 'animation', 'family', 'comedy', 'thriller', 'fantasy'];6.4;;;;;;;;;;
The Legend of Bruce Lee;['action', 'drama'];7.0;;;;;;;;;;
Basketball Wives;['reality'];3.6;;;;;;;;;;
Louis C.K.: Hilarious;['comedy'];8.3;;;;;;;;;;
The Boy Who Cried Werewolf;['fantasy', 'comedy', 'family', 'horror'];5.9;;;;;;;;;;
The Taking of Pelham 1 2 3;['thriller', 'action', 'crime'];6.4;;;;;;;;;;
Initial D;['drama', 'romance', 'action', 'comedy'];6.3;;;;;;;;;;
The Garfield Show;['animation', 'comedy', 'family', 'european'];5.4;;;;;;;;;;
Kevin James: Sweat the Small Stuff;['comedy', 'documentation'];7.4;;;;;;;;;;
Duck Season;;;;;;;;;;;;
Half & Half;;;;;;;;;;;;
;;;;;;;;;;;;
 but due to several circumstances—including The CW's contractual obligation to pick up Reba;21;tt0320024;8.2;;;;;;;;;
Big Time Rush;['comedy', 'drama', 'family', 'music'];6.4;;;;;;;;;;
Pocoyo;['animation', 'comedy', 'family', 'european'];4.0;;;;;;;;;;
Love Aaj Kal;['drama', 'comedy', 'romance'];6.8;;;;;;;;;;
Accident;['drama', 'thriller'];6.6;;;;;;;;;;
Black & White;['action', 'comedy', 'sport', 'crime'];7.6;;;;;;;;;;
El Escamoso;;;;;;;;;;;;
;;;;;;;;;;;;
" but can't get the one he loves.""";1.0;23.727;;;;;;;;;;
I Now Pronounce You Chuck & Larry;['comedy', 'romance'];5.9;;;;;;;;;;
Jim Gaffigan: Beyond the Pale;['comedy', 'documentation'];7.8;;;;;;;;;;
Phir Hera Pheri;['comedy', 'crime'];7.2;;;;;;;;;;
Trailer Park Boys: The Movie;['comedy', 'crime'];7.1;;;;;;;;;;
The Legend of Bhagat Singh;['drama', 'action', 'history'];8.2;;;;;;;;;;
Anchor Baby;['drama', 'documentation', 'thriller'];6.3;;;;;;;;;;
RV;['comedy', 'family', 'european'];5.6;;;;;;;;;;
Billu;['drama', 'comedy'];6.3;;;;;;;;;;
Masha and the Bear;['animation', 'comedy', 'family', 'action'];7.5;;;;;;;;;;
Madness in the Desert;['documentation'];8.4;;;;;;;;;;
Guru;['drama', 'documentation', 'european'];7.7;;;;;;;;;;
Golmaal Returns;['comedy', 'crime'];5.2;;;;;;;;;;
One Piece: Strong World;['animation', 'fantasy', 'action'];7.5;;;;;;;;;;
The Figurine: Araromire;['drama', 'horror', 'thriller'];4.4;;;;;;;;;;
Jab We Met;['romance', 'comedy', 'drama'];7.9;;;;;;;;;;
Jaane Tu... Ya Jaane Na;['drama', 'romance', 'comedy'];7.4;;;;;;;;;;
Banyuki;['action', 'drama'];6.9;;;;;;;;;;
Kath & Kim;;;;;;;;;;;;
;;;;;;;;;;;;
 with three further series following; it has become a pop culture phenomenon; to air on NBC. Riley and Turner served as executive producers on the US version. The American version was also picked up by Seven;;24;['comedy'];['AU'];4.0;tt0272397;8.4;4609.0;4.649;6.6
Den-noh Coil;;;;;;;;;;;;
;;;;;;;;;;;;
 in development for over a decade;25;tt1033796;7.417;;;;;;;;;
Palermo Hollywood;['drama'];5.3;;;;;;;;;;
Johnny Test;;;;;;;;;;;;
Falafel;['drama', 'european'];6.6;;;;;;;;;;
Ajab Prem Ki Ghazab Kahani;['comedy', 'romance', 'action'];6.4;;;;;;;;;;
Cairo 6,7,8;['drama'];7.4;;;;;;;;;;
Open Season;['animation', 'comedy', 'drama', 'family', 'fantasy'];6.1;;;;;;;;;;
Kabhi Khushi Kabhie Gham;['drama', 'comedy', 'romance'];7.4;;;;;;;;;;
Like Stars on Earth;;;;;;;;;;;;
